customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServiceCost,LogTotalServiceCost
8108-UXRQN,11,0,0,2,50.55,565.35,0,556.05,6.322655002505326
9191-MYQKX,7,1,0,0,75.15,496.9,1,526.0500000000001,6.267295420701198
9919-YLNNG,42,1,0,0,103.8,4327.5,0,4359.599999999999,8.380364941553948
0318-ZOPWS,49,1,2,0,20.15,973.35,0,987.3499999999999,6.896036886027939
4445-ZJNMU,9,1,0,1,99.3,918.75,0,893.6999999999999,6.7964884665535505
4808-YNLEU,35,1,1,0,62.15,2215.45,0,2175.25,7.685358491082399
1862-QRWPE,48,1,2,0,20.65,1057.0,0,991.1999999999999,6.899924699866949
2796-NNUFI,46,1,2,3,19.95,927.1,0,917.6999999999999,6.822959627277421
3016-KSVCP,29,0,0,3,33.75,1009.25,0,978.75,6.887297437079741
4767-HZZHQ,30,1,0,0,82.05,2570.2,0,2461.5,7.808932373046244
2424-WVHPL,1,1,0,2,74.7,74.7,0,74.7,4.3267781604434035
7233-PAHHL,66,1,2,3,84.0,5714.25,0,5544.0,8.620651899784468
6067-NGCEU,65,1,0,1,111.05,7107.0,0,7218.25,8.884506348374824
9848-JQJTX,72,1,2,0,100.9,7459.05,0,7264.8,8.890933686941263
8637-XJIVR,12,1,0,2,78.95,927.35,1,947.4000000000001,6.854776354191251
9803-FTJCG,71,1,1,1,66.85,4748.7,0,4746.349999999999,8.46534184661067
0278-YXOOG,5,1,0,3,21.05,113.85,1,105.25,4.665794807804526
3212-KXOCR,52,1,2,0,21.0,1107.2,0,1092.0,6.996681488176539
4598-XLKNJ,25,1,0,2,98.5,2514.5,1,2462.5,7.809338381984018
6380-ARCEH,1,1,0,3,20.2,20.2,0,20.2,3.054001181677967
3679-XASPY,1,1,0,2,19.45,19.45,0,19.45,3.017982882488811
7123-WQUHX,38,1,1,0,95.0,3605.6,0,3610.0,8.191740021277457
5386-THSLQ,66,0,1,0,45.55,3027.25,0,3006.2999999999997,8.008797945221955
3192-NQECA,68,1,2,0,110.0,7611.85,1,7480.0,8.920121751872404
6180-YBIQI,5,0,0,3,24.3,100.2,0,121.5,4.808111029984782
6728-DKUCO,72,1,1,2,104.15,7303.05,0,7498.8,8.922631632502174
9750-BOOHV,32,0,1,3,30.15,927.65,0,964.8,6.872956773439442
8597-CWYHH,43,1,1,3,94.35,3921.3,0,4057.0499999999997,8.308457841650414
2848-YXSMW,72,1,2,1,19.4,1363.25,0,1396.8,7.242654851043029
0486-HECZI,55,1,0,2,96.75,5238.9,1,5321.25,8.579651425255848
4549-ZDQYY,52,1,1,1,57.95,3042.25,0,3013.4,8.011156084382044
5712-AHQNN,43,1,0,2,91.65,3954.1,0,3940.9500000000003,8.27943080371543
4846-WHAFZ,37,1,0,2,76.5,2868.15,1,2830.5,7.948561885553859
5256-SKJGO,64,0,2,2,54.6,3423.5,0,3494.4,8.159203097332261
3071-VBYPO,3,1,0,2,89.85,248.4,0,269.54999999999995,5.6004569240887445
9560-BBZXK,36,0,2,0,31.05,1126.35,0,1117.8,7.020011961327804
5299-RULOA,10,1,0,2,100.25,1064.65,1,1002.5,6.911249168236393
8402-OOOHJ,41,1,2,3,20.65,835.15,0,846.65,6.742467814743962
9445-ZUEQE,27,1,0,1,85.2,2151.6,0,2300.4,7.741272912389358
1091-SOZGA,56,1,1,1,99.8,5515.45,0,5588.8,8.628698787333777
2928-HLDBA,6,1,0,3,20.7,112.75,0,124.19999999999999,4.829912458665998
0404-SWRVG,3,1,0,2,74.4,229.55,1,223.20000000000002,5.4125385106380595
6497-TILVL,7,1,0,3,50.7,350.35,0,354.90000000000003,5.874649792516147
7219-TLZHO,4,1,0,3,20.85,62.9,0,83.4,4.4355674016019115
4622-YNKIJ,33,1,2,2,88.95,3027.65,0,2935.35,7.984922592438746
4412-YLTKF,27,1,0,2,78.05,2135.5,1,2107.35,7.653660930034706
6734-PSBAW,72,1,2,0,23.55,1723.95,0,1695.6000000000001,7.4363815273736344
3930-ZGWVE,1,1,0,3,19.75,19.75,0,19.75,3.0325462466767075
2639-UGMAZ,71,0,1,2,56.45,3985.35,0,4007.9500000000003,8.296284640626592
2876-GZYZC,13,1,0,2,85.95,1215.65,0,1117.3500000000001,7.019609663756279
6207-WIOLX,25,0,0,1,58.6,1502.65,1,1465.0,7.290292882446597
8587-XYZSF,67,1,2,0,50.55,3260.1,0,3386.85,8.127950780883916
3091-FYHKI,1,0,0,2,35.45,35.45,1,35.45,3.5959414584546674
2372-HWUHI,2,1,0,2,44.35,81.25,1,88.7,4.49647076906475
7799-LGRDP,43,1,2,1,25.7,1188.2,0,1105.1,7.0085955939082085
7850-VWJUU,23,1,0,0,75.0,1778.5,0,1725.0,7.453561871643373
3774-VBNXY,64,1,2,3,20.2,1277.75,0,1292.8,7.165338903609885
6217-KDYWC,57,1,2,3,19.6,1170.55,0,1117.2,7.019475528592545
0390-DCFDQ,1,1,0,3,70.45,70.45,1,70.45,4.268997904375876
3146-MSEGF,72,1,2,1,88.05,6425.65,0,6339.599999999999,8.754728680177427
4080-OGPJL,8,1,0,2,71.15,563.65,1,569.2,6.345987176478571
1095-WGNGG,61,1,2,0,101.05,5971.25,0,6164.05,8.726651525865638
2636-SJDOU,64,1,1,1,84.3,5289.05,0,5395.2,8.593450281132991
1131-QQZEB,71,1,2,0,23.95,1756.2,0,1700.45,7.439236107673161
5716-EZXZN,65,1,2,1,99.05,6416.7,0,6438.25,8.770167352689121
6837-BJYDQ,3,1,1,3,19.6,61.35,0,58.800000000000004,4.091005660956586
2135-RXIHG,1,1,0,2,45.65,45.65,1,45.65,3.8426729272933526
6440-DKQGE,30,1,1,1,64.5,1929.95,0,1935.0,7.568379267836522
3466-BYAVD,15,1,0,3,69.5,1071.4,0,1042.5,6.950335726517255
3780-YVMFA,8,1,0,2,68.55,564.35,0,548.4,6.308826773661173
3874-EQOEP,7,1,0,3,95.0,655.5,1,665.0,6.501289670540389
1679-JRFBR,70,1,1,1,108.15,7930.55,0,7570.5,8.93214647739671
9073-ZZIAY,62,1,2,2,86.1,5215.25,0,5338.2,8.582831107997109
3077-RSNTJ,6,1,0,3,19.7,113.5,0,118.19999999999999,4.7808027546312495
6551-GNYDG,14,1,0,0,80.9,1152.8,0,1132.6000000000001,7.033153688376471
9167-APMXZ,22,1,0,0,84.15,1821.95,0,1851.3000000000002,7.524183389128678
2749-CTKAJ,22,1,1,3,20.15,419.9,0,443.29999999999995,6.096500009941862
6371-NZYEG,16,1,2,3,64.25,1024.0,0,1028.0,6.9363427358340495
7554-NEWDD,10,1,2,0,25.7,251.6,0,257.0,5.552959584921617
8992-VONJD,13,1,0,2,56.0,764.55,0,728.0,6.591673732008658
0867-MKZVY,20,1,0,2,82.4,1592.35,1,1648.0,7.407924322559599
4482-EWFMI,2,1,0,2,69.7,135.2,0,139.4,4.944495491591711
4648-YPBTM,53,1,2,0,73.9,3958.25,0,3916.7000000000003,8.273260025894471
2907-ILJBN,11,1,1,3,20.6,233.9,0,226.60000000000002,5.427589702252176
6345-FZOQH,69,1,2,3,19.9,1363.45,0,1373.1,7.225554250337729
3376-BMGFE,4,1,0,0,70.9,273.0,1,283.6,5.651084685655752
5997-OPVFA,72,1,2,0,89.05,6254.45,0,6411.599999999999,8.766020083899342
3445-HXXGF,58,0,0,2,45.3,2651.2,1,2627.3999999999996,7.874130575023712
1159-WFSGR,16,1,0,2,20.4,321.4,0,326.4,5.791182664937034
7654-YWJUF,43,1,1,0,84.25,3539.25,0,3622.75,8.195264680235866
1875-QIVME,2,1,0,2,104.4,242.8,1,208.8,5.346154695962197
6727-IOTLZ,14,1,2,3,81.95,1181.75,0,1147.3,7.046037866782144
0691-JVSYA,53,1,1,0,94.85,5000.2,1,5027.049999999999,8.522787513972547
5918-VUKWP,32,1,1,0,20.55,654.55,0,657.6,6.490116369942264
1744-JHKYS,34,1,0,2,24.7,780.2,0,839.8,6.734353819562742
2656-FMOKZ,15,1,0,3,74.45,1145.7,1,1116.75,7.01907301511409
2070-FNEXE,7,1,0,0,76.45,503.6,1,535.15,6.2844139726661545
5947-SGKCL,15,1,0,0,105.35,1559.25,0,1580.25,7.365970952475831
3712-PKXZA,61,1,1,1,20.55,1252.0,0,1253.55,7.134532221528768
6317-YPKDH,1,0,0,0,29.95,29.95,1,29.95,3.432372999130605
6582-OIVSP,1,1,0,3,45.3,45.3,0,45.3,3.835141961092188
9367-WXLCH,8,1,0,0,84.5,662.65,1,676.0,6.517671272912275
5524-KHNJP,33,1,1,1,74.75,2453.3,0,2466.75,7.811062083297998
1918-ZBFQJ,13,1,0,2,79.25,1111.65,1,1030.25,6.9385269376488905
1024-GUALD,1,0,0,2,24.8,24.8,1,24.8,3.250374491927572
4827-USJHP,20,1,0,3,51.8,1023.85,0,1036.0,6.9440872082295275
8167-GJLRN,3,0,0,2,30.4,82.15,0,91.19999999999999,4.523960130562548
0956-SYCWG,13,1,1,2,19.65,244.8,0,255.45,5.546933713835277
8017-UVSZU,40,1,0,1,56.6,2379.1,0,2264.0,7.725330037917135
7100-FQPRV,43,1,1,1,71.9,3173.35,0,3091.7000000000003,8.036799774770449
2472-OVKUP,6,1,0,2,91.0,531.0,1,546.0,6.304448802421981
2984-RGEYA,69,1,2,0,19.75,1375.4,0,1362.75,7.21799353714728
9680-NIAUV,72,1,2,1,109.7,8129.3,0,7898.400000000001,8.974542086203725
2146-EGVDT,59,1,2,1,19.3,1192.7,0,1138.7,7.03852034886169
2604-IJPDU,20,1,0,2,96.55,1901.65,0,1931.0,7.566311014772463
9178-JHUVJ,24,1,2,0,24.1,587.4,0,578.4000000000001,6.36199308533525
6168-YBYNP,59,1,0,2,111.35,6519.75,0,6569.65,8.790368041135945
7255-SSFBC,72,1,2,0,112.25,8041.65,0,8082.0,8.997518369733845
3645-DEYGF,1,1,0,3,20.75,20.75,0,20.75,3.079613757534693
9323-HGFWY,27,1,1,1,101.9,2681.15,0,2751.3,7.920192204739806
8544-GOQSH,14,1,0,1,80.05,1112.3,0,1120.7,7.022600670651178
3363-DTIVD,71,1,2,2,105.55,7405.5,0,7494.05,8.921998081628523
7018-WBJNK,13,1,0,1,78.3,1033.95,0,1017.9,6.926478892980239
9142-KZXOP,44,1,0,1,68.85,2958.95,0,3029.3999999999996,8.01644990299176
7674-YTAFD,33,1,1,0,79.95,2684.85,0,2638.35,7.878287953703969
6348-SNFUS,72,0,2,1,55.45,4179.2,0,3992.4,8.292398277352797
1285-OKIPP,1,1,0,2,79.9,79.9,1,79.9,4.393213824064446
7825-ECJRF,19,1,0,2,106.6,1934.45,1,2025.3999999999999,7.614016098687466
1347-KTTTA,64,1,1,1,102.45,6654.1,0,6556.8,8.788410459836772
7841-TZDMQ,2,1,0,1,46.0,84.5,1,92.0,4.532599493153256
4195-NZGTA,1,0,0,2,25.25,25.25,0,25.25,3.2676659890376327
7157-SMCFK,61,1,2,3,19.75,1124.2,0,1204.75,7.094857058949081
4709-LKHYG,29,1,1,2,20.0,540.05,0,580.0,6.364750756851911
2504-DSHIH,23,1,0,2,86.8,1975.85,0,1996.3999999999999,7.5996016138090345
0699-NDKJM,57,0,0,0,58.75,3437.45,0,3348.75,8.116640995168718
9286-BHDQG,72,0,2,1,45.25,3139.8,0,3258.0,8.089175678837561
0230-WEQUW,66,0,2,0,56.6,3789.2,0,3735.6,8.225931386025737
2040-LDIWQ,65,1,2,0,84.2,5324.5,0,5473.0,8.607764889600624
6496-JDSSB,8,1,0,0,80.0,624.6,0,640.0,6.46302945692067
9408-SSNVZ,4,1,0,2,70.15,268.35,1,280.6,5.640487624283887
4443-EMBNA,71,1,2,0,24.75,1836.9,0,1757.25,7.4720742751881275
6469-MRVET,1,1,1,2,20.2,20.2,0,20.2,3.054001181677967
0742-MOABM,4,1,0,3,50.05,179.35,1,200.2,5.304299438225584
5961-VUSRV,12,1,1,0,19.35,219.35,0,232.20000000000002,5.451896454476337
6778-JFCMK,24,0,1,3,50.6,1288.75,0,1214.4,7.102828519701255
6341-JVQGF,31,1,1,3,81.15,2545.75,0,2515.65,7.830683931036475
2232-DMLXU,1,1,0,3,55.2,55.2,1,55.2,4.028916756899646
4811-JBUVU,30,1,0,1,89.9,2723.15,0,2697.0,7.900266036767701
0945-TSONX,47,1,2,1,85.3,4107.25,0,4009.1,8.296571457645538
2651-ZCBXV,54,1,2,1,108.0,5760.65,0,5832.0,8.671286726753637
3316-UWXUY,50,1,0,1,93.5,4747.5,0,4675.0,8.450198322591959
8937-RDTHP,1,1,0,3,84.6,84.6,1,84.6,4.449685283147696
7083-MIOPC,72,1,2,1,20.25,1566.9,0,1458.0,7.285506548522785
1984-GPTEH,29,1,0,2,25.15,702.0,0,729.3499999999999,6.59352387129682
1251-KRREG,2,1,0,3,54.4,114.1,1,108.8,4.69866052907543
0621-JFHOL,10,0,2,3,29.6,299.05,0,296.0,5.6937321388027
9903-LYSAB,18,1,0,2,73.15,1305.95,0,1316.7,7.183643071551207
0094-OIFMO,11,1,0,2,95.0,1120.3,1,1045.0,6.952728644624869
9227-UAQFT,16,1,2,3,19.75,284.35,0,316.0,5.75890177387728
7301-ABVAD,72,1,2,0,86.6,6350.5,0,6235.2,8.7381263015043
6614-FHDBO,72,1,2,0,109.2,7878.3,0,7862.400000000001,8.969974361866386
7576-ASEJU,41,1,1,1,74.7,3187.65,0,3062.7000000000003,8.02737861483971
9058-HRZSV,65,1,0,2,94.4,6126.15,0,6136.0,8.722091302389098
4522-AKYLR,13,1,0,2,54.8,731.3,0,712.4,6.570042272924791
0221-WMXNQ,4,1,0,2,75.35,273.4,0,301.4,5.711750644305378
0303-UNCIP,41,1,1,3,65.0,2531.8,0,2665.0,7.888334500738654
9947-OTFQU,15,1,0,2,74.4,1074.3,1,1116.0,7.018401799069201
0322-YINQP,1,1,0,3,48.55,48.55,1,48.55,3.902982260775997
0959-WHOKV,42,1,1,2,99.0,4298.45,0,4158.0,8.33302993974291
4075-JFPGR,51,1,1,2,93.5,4619.55,0,4768.5,8.469996756585262
4629-NRXKX,2,1,0,2,70.4,147.15,1,140.8,4.954417614098027
9514-JDSKI,1,0,0,2,40.2,40.2,1,40.2,3.7184382563554808
3282-ZISZV,32,1,1,1,83.7,2633.3,0,2678.4,7.893348167842886
3675-YDUPJ,10,1,0,3,19.85,193.05,0,198.5,5.295814236329918
4111-BNXIF,67,0,2,2,59.55,4103.9,0,3989.85,8.291759519777145
7017-VFHAY,61,1,2,1,115.1,7008.15,0,7021.099999999999,8.856817597583968
6655-LHBYW,50,1,1,1,114.35,5791.1,0,5717.5,8.651461812221271
4959-JOSRX,2,1,0,1,44.6,80.55,1,89.2,4.502029427068578
5046-NUHWD,29,0,0,2,45.0,1228.65,0,1305.0,7.174724309836376
7273-TEFQD,3,0,0,2,41.15,132.2,1,123.44999999999999,4.823904028813601
3606-TWKGI,13,1,0,2,106.9,1364.3,1,1389.7,7.237562496484565
7529-ZDFXI,57,1,0,2,89.85,4925.35,0,5121.45,8.541388119206461
7605-BDWDC,31,0,2,0,49.85,1520.1,0,1545.3500000000001,7.3436525942105035
1950-KSVVJ,45,1,1,3,113.3,5032.25,0,5098.5,8.536897774690573
0123-CRBRT,61,1,2,3,88.1,5526.75,0,5374.099999999999,8.589532457473961
6292-TOSSS,50,1,2,0,24.9,1195.25,0,1245.0,7.1276936993473985
3197-ARFOY,19,1,0,3,105.0,2007.25,0,1995.0,7.59890045687141
6323-AYBRX,59,1,2,3,19.35,1099.6,1,1141.65,7.041105405178893
7014-ZZXAW,71,1,2,1,24.25,1732.95,0,1721.75,7.451677130237317
4385-GZQXV,16,1,0,2,94.45,1511.2,1,1511.2,7.32132082312417
7633-MVPUY,57,1,2,2,59.75,3450.15,0,3405.75,8.133514036629931
6366-ZGQGL,1,0,0,0,24.8,24.8,1,24.8,3.250374491927572
4716-HHKQH,20,1,0,2,107.05,2172.05,0,2141.0,7.669495251007694
5940-AHUHD,1,1,0,3,70.6,70.6,1,70.6,4.2710950739666
6432-TWQLB,5,1,0,2,85.4,401.1,1,427.0,6.059123195581797
4484-GLZOU,52,1,0,2,105.05,5624.85,1,5462.599999999999,8.605863192128737
3179-GBRWV,21,1,0,0,64.95,1339.8,0,1363.95,7.218873076911534
8645-KWHJO,14,0,0,2,55.0,771.95,0,770.0,6.647688373563329
4130-MZLCC,5,1,0,0,50.55,244.75,0,252.75,5.536349530355997
0314-TKOSI,6,1,0,3,55.15,322.9,0,330.9,5.804833718725929
8229-MYEJZ,10,1,0,2,51.2,498.25,0,512.0,6.240275845170769
2080-SRCDE,1,1,0,3,25.4,25.4,0,25.4,3.2733640101522705
9577-WJVCQ,68,1,0,3,54.45,3687.75,0,3702.6000000000004,8.217060598573893
9512-UIBFX,18,1,0,3,95.15,1779.95,1,1712.7,7.446410054666804
6202-DYYFX,22,1,1,1,76.0,1783.6,0,1672.0,7.422373700986824
3808-HFKDE,20,1,0,2,44.35,927.15,0,887.0,6.78897174299217
5583-SXDAG,1,1,0,2,70.0,70.0,1,70.0,4.2626798770413155
3488-PGMQJ,8,1,0,2,74.5,606.55,1,596.0,6.391917113392602
3580-REOAC,10,1,0,1,44.85,435.4,1,448.5,6.108135853911675
7534-BFESC,24,1,0,2,76.1,1712.7,1,1826.3999999999999,7.51064947056452
3727-OWVYD,35,1,1,3,61.2,2021.2,0,2142.0,7.669961995473577
2294-SALNE,23,1,1,3,86.8,1940.8,0,1996.3999999999999,7.5996016138090345
4847-TAJYI,6,1,0,2,89.35,567.8,0,536.0999999999999,6.286184296911413
1563-IWQEX,12,1,0,3,19.7,220.35,0,236.39999999999998,5.469746482175568
8203-XJZRC,1,1,0,3,20.25,20.25,0,20.25,3.056356895370426
6556-DBKZF,71,1,2,2,76.05,5436.45,0,5399.55,8.59425607921767
6851-WEFYX,35,1,0,2,100.8,3437.5,0,3528.0,8.16876982367527
2985-JUUBZ,40,1,0,2,74.55,3015.75,0,2982.0,8.000684784514748
6390-DSAZX,1,1,0,3,73.6,73.6,1,73.6,4.312140507209715
0895-LMRSF,23,1,1,0,64.9,1509.8,0,1492.7,7.309011542316247
8098-LLAZX,4,1,0,2,95.45,396.1,1,381.8,5.947512659578799
8266-VBFQL,4,1,0,2,90.4,356.65,0,361.6,5.89330029832075
8181-YHCMF,68,0,2,1,60.3,4109.0,0,4100.4,8.31908365782167
2240-HSJQD,38,1,0,3,81.85,3141.7,0,3110.2999999999997,8.042795924263798
1248-DYXUB,52,1,2,3,24.8,1229.1,0,1289.6000000000001,7.16286250550174
0265-EDXBD,32,1,0,2,74.9,2303.35,1,2396.8,7.782306929273553
4115-BNPJY,29,1,2,3,75.55,2054.4,0,2190.95,7.692546837588771
3167-SNQPL,38,1,0,2,101.15,3741.85,0,3843.7000000000003,8.254450855488738
4091-TVOCN,48,1,1,1,78.75,3682.45,0,3780.0,8.237743803890933
1098-TDVUQ,1,1,0,0,19.25,19.25,0,19.25,3.0081547935525483
7277-OZCGZ,22,1,0,2,89.05,1886.25,0,1959.1,7.580750771331229
1557-EMYVT,43,1,2,1,115.05,4895.1,0,4947.15,8.50676904833178
2799-ARNLO,5,1,0,2,69.35,341.6,0,346.75,5.851483830803552
7563-BIUPC,5,1,0,2,80.6,415.55,1,403.0,6.0014148779611505
5027-YOCXN,51,1,1,1,110.05,5686.4,0,5612.55,8.632938596958125
3973-SKMLN,71,1,2,1,19.9,1355.1,0,1412.8999999999999,7.254107122597794
2321-OMBXY,38,1,1,1,80.3,3058.65,1,3051.4,8.023683445415479
2840-XANRC,24,1,0,2,93.15,2231.05,1,2235.6000000000004,7.7127121345940886
6745-JEFZB,35,1,0,1,91.5,3236.35,0,3202.5,8.071999241079077
5020-ZSTTY,54,1,1,0,82.45,4350.1,1,4452.3,8.401400673364574
9880-TDQAC,72,0,2,2,60.0,4264.0,0,4320.0,8.371242135931933
8705-WZCYL,1,1,0,2,44.8,44.8,0,44.8,3.824284091120139
7102-JJVTX,9,1,1,3,48.6,422.3,0,437.40000000000003,6.083131735633806
8626-PTQGE,69,0,2,0,60.05,4176.7,0,4143.45,8.329525368777363
4983-CLMLV,52,1,0,1,102.7,5138.1,0,5340.400000000001,8.583243069877737
5701-YVSVF,11,1,0,2,82.9,880.05,0,911.9000000000001,6.816626345571035
5804-LEPIM,2,1,0,2,70.35,139.05,1,140.7,4.953712146696635
5697-GOMBF,28,0,0,2,35.9,973.65,0,1005.1999999999999,6.913936138057218
2739-CACDQ,17,1,0,1,82.65,1470.05,0,1405.0500000000002,7.248539633615969
9385-EHGDO,35,1,2,3,19.85,739.35,0,694.75,6.544990400406
9498-FIMXL,8,1,1,3,19.2,161.95,0,153.6,5.040841136153322
2379-GYFLQ,46,1,1,1,94.9,4422.95,0,4365.400000000001,8.381694149954074
0122-OAHPZ,7,1,0,2,73.85,511.25,1,516.9499999999999,6.249878712504111
2868-SNELZ,2,1,0,3,80.6,155.8,1,161.2,5.088830141681313
